phase,ticker,name,market,report_period,period_scope,sample_policy,source_universe_quality,historical_pit_universe_ready,planned_routes,expected_route_budget_per_ticker_period,budget_guard_per_ticker_period,official_asof_required,after_close_next_trading_day_policy_required,unmatched_or_ambiguous_policy,quarter_end_date_available_at_allowed,query_response_datetime_available_at_allowed,conservative_deadline_proxy_allowed_for_official_route,accepted_for_runner_execution,accepted_for_materialization,accepted_for_experiments,accepted_for_formal,diagnostic_only,not_live_rule,forward_returns_live_rule_usage,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay
phase_2_tpex_100x4_recent,5529,鉅陞,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5529,鉅陞,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5609,中菲行,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5609,中菲行,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5609,中菲行,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5609,中菲行,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5905,南仁湖,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5905,南仁湖,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5905,南仁湖,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,5905,南仁湖,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6103,合邦,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6103,合邦,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6103,合邦,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6103,合邦,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6123,上奇,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6123,上奇,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6123,上奇,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6123,上奇,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6140,訊達電腦,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6140,訊達電腦,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6140,訊達電腦,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6140,訊達電腦,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6156,松上,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6156,松上,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6156,松上,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6156,松上,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6173,信昌電,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6173,信昌電,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6173,信昌電,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6173,信昌電,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6188,廣明,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6188,廣明,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6188,廣明,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6188,廣明,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6208,日揚,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6208,日揚,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6208,日揚,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6208,日揚,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6223,旺矽,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6223,旺矽,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6223,旺矽,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6223,旺矽,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6240,松崗,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6240,松崗,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6240,松崗,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6240,松崗,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6263,普萊德,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6263,普萊德,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6263,普萊德,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6263,普萊德,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6284,佳邦,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6284,佳邦,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6284,佳邦,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6284,佳邦,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6423,億而得,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6423,億而得,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6423,億而得,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6423,億而得,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6470,宇智,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6470,宇智,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6470,宇智,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6470,宇智,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6498,久禾光,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6498,久禾光,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6498,久禾光,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6498,久禾光,TPEx,114Q2,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6523,達爾膚,TPEx,115Q1,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6523,達爾膚,TPEx,114Q4,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
phase_2_tpex_100x4_recent,6523,達爾膚,TPEx,114Q3,recent_4_quarters,deterministic_evenly_spaced_from_current_or_carried_tpex_sampling_universe,current_or_carried_sampling_proxy_not_historical_pit,False,t164sb05;t164sb03;t05st01;t05st01_detail_prefiltered,8.0,10.0,True,True,explicit_blocked_ledger_no_silent_backfill,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
